UniqueID,BottleNo,True Bottle ID,NumID,Location No,Distance from Dam,Lake ID (4 dig.),Sampling Type (B/S),NH4Results,NOxResults,PO4Results,TPResults,NH4 BDL,Nox BDL,PO4 BDL,TP BDL,Microcystin Concentration,Chla (ug/L),Pheo (Avg 24 and on),NPOC (AVG) mg/L? [TOC],TN (AVG) mg/L? [TOC],Secchi Depth (m),Lat,Long,Month,Day,Year,Exclude,Date,FLIR,TIMEHHMMSS,DATEMMDDYYYY,FILENAME,FAULTCODE,BAROMETERMMHG,CONDSCM,SPCONDSCM,TDSMGL,SALPSU,NLFCONDSCM,DEPTHM,VERTICALPOSITIONM,PRESSUREPSIA,ODOSAT,ODOMGL,ODOCB,GPSLATITUDE,GPSLONGITUDE,ALTITUDEM,ORPMV,PH,PHMV,CABLEPWRV,BATTERYV,TEMPC,TURBIDITYFNU,TSSMGL,SITE
10132,20230615-4,20230615-MISS-S?,?,?,,MISS,Shore,0.3437,4.028,-0.012,,0.3437,4.028,0.05,0.05,0.195805238,63.49,NO DATA,,,,40.7033409,-85.9363903,6,15,2023,FALSE,6/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10133,20230615-5,20230615-MISS-S?,?,?,,MISS,Shore,0.6551,4.258,0.034,,0.6551,4.258,0.05,0.05,0.125498501,27.19,NO DATA,,,,40.7020863,-85.935531,6,15,2023,FALSE,6/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10134,20230615-6,20230615-MISS-S?,?,?,,MISS,Shore,2.1141,4.501,0.601,,2.1141,4.501,0.601,0.05,0.02384423,41.55,NO DATA,,,,40.7008279,-85.9350821,6,15,2023,FALSE,6/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10135,20230615-7,20230615-MISS-S?,?,?,,MISS,Shore,1.9275,3.737,0.378,,1.9275,3.737,0.378,0.05,0.802900499,54.49,NO DATA,,,,40.6803548,-85.8952476,6,15,2023,FALSE,6/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10136,20230615-8,20230615-MISS-S?,?,?,,MISS,Shore,0.7416,3.397,0.023,,0.7416,3.397,0.05,0.05,1.64488444,76.64,NO DATA,,,,40.6684999,-85.8488098,6,15,2023,FALSE,6/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158,20230627-MISS-S1,20230627-MISS-S?,?,?,,MISS,Shore,,,,0.051,0.05,0.05,0.05,0.05,1.024728833,38.85,NO DATA,,,,40.714056,-85.937066,6,27,2023,FALSE,6/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159,20230627-MISS-S2,20230627-MISS-S?,?,?,,MISS,Shore,0.1621,3.593,-0.01,0.0545,0.1621,3.593,0.05,0.05,1.861137987,43.99,NO DATA,,,,40.714628,-85.937873,6,27,2023,FALSE,6/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160,20230627-MISS-S3,20230627-MISS-S?,?,?,,MISS,Shore,0.32155,3.4715,0.151,0.043,0.32155,3.4715,0.151,0.05,1.183388031,23.68,NO DATA,,,,40.705238,-85.953679,6,27,2023,FALSE,6/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161,20230627-MISS-S4,20230627-MISS-S?,?,?,,MISS,Shore,,,,0.08575,0.05,0.05,0.05,0.05,2.8600079,45.79,NO DATA,,,,40.703391,-85.936472,6,27,2023,FALSE,6/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162,20230627-MISS-S5,20230627-MISS-S?,?,?,,MISS,Shore,,,,0.08975,0.05,0.05,0.05,0.05,2.607025035,49.53,NO DATA,,,,40.702609,-85.93613,6,27,2023,FALSE,6/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
